	t	x	y	pescados
	517	2.12483e+06	18359.7	0
	518	2.11452e+06	18324.8	0
	519	2.10428e+06	18289.6	0
	520	2.09411e+06	18254	0
	521	2.08402e+06	18218	0
	522	2.07399e+06	18181.7	0
	523	2.06403e+06	18145.1	0
	524	2.05413e+06	18108.2	0
	525	2.04431e+06	18070.9	0
	526	2.03455e+06	18033.4	0
	527	2.02487e+06	17995.6	0
	528	2.01524e+06	17957.5	0
	529	2.00569e+06	17919.1	0
	530	1.9962e+06	17880.5	0
	531	1.98678e+06	17841.7	0
	532	1.97743e+06	17802.6	0
	533	1.96814e+06	17763.3	0
	534	1.95892e+06	17723.8	0
	535	1.94976e+06	17684.1	0
	536	1.94067e+06	17644.3	0
	537	1.93164e+06	17604.2	0
	538	1.92268e+06	17563.9	0
	539	1.91378e+06	17523.5	0
	540	1.90495e+06	17482.9	0
	541	1.89618e+06	17442.2	0
	542	1.88747e+06	17401.3	0
	543	1.87883e+06	17360.3	0
	544	1.87025e+06	17319.2	0
	545	1.86173e+06	17277.9	0
	546	1.85327e+06	17236.6	0
	547	1.84487e+06	17195.1	0
	548	1.83654e+06	17153.5	0
	549	1.82827e+06	17111.8	0
	550	1.82006e+06	17070.1	0
	551	1.81191e+06	17028.3	0
	552	1.80381e+06	16986.4	0
	553	1.79578e+06	16944.4	0
	554	1.78781e+06	16902.4	0
	555	1.7799e+06	16860.3	0
	556	1.77205e+06	16818.2	0
	557	1.76425e+06	16776	0
	558	1.75652e+06	16733.8	0
	559	1.74884e+06	16691.6	0
	560	1.74122e+06	16649.4	0
	561	1.73366e+06	16607.1	0
	562	1.72616e+06	16564.8	0
	563	1.71871e+06	16522.5	0
	564	1.71132e+06	16480.2	0
	565	1.70399e+06	16437.9	0
	566	1.69671e+06	16395.6	0
	567	1.68949e+06	16353.3	0
	568	1.68233e+06	16311	0
	569	1.67522e+06	16268.7	0
	570	1.66817e+06	16226.5	0
	571	1.66117e+06	16184.3	0
	572	1.65423e+06	16142.1	0
	573	1.64734e+06	16100	0
	574	1.64051e+06	16057.9	0
	575	1.63373e+06	16015.8	0
	576	1.62701e+06	15973.8	0
	577	1.62034e+06	15931.8	0
	578	1.61372e+06	15889.9	0
	579	1.60716e+06	15848	0
	580	1.60065e+06	15806.2	0
	581	1.59419e+06	15764.5	0
	582	1.58779e+06	15722.8	0
	583	1.58144e+06	15681.2	0
	584	1.57515e+06	15639.6	0
	585	1.5689e+06	15598.2	0
	586	1.56271e+06	15556.8	0
	587	1.55658e+06	15515.5	0
	588	1.55049e+06	15474.3	0
	589	1.54446e+06	15433.1	0
	590	1.53848e+06	15392.1	0
	591	1.53255e+06	15351.1	0
	592	1.52667e+06	15310.3	0
	593	1.52085e+06	15269.5	0
	594	1.51508e+06	15228.9	0
	595	1.50936e+06	15188.3	0
	596	1.50369e+06	15147.8	0
	597	1.49808e+06	15107.5	0
	598	1.49251e+06	15067.2	0
	599	1.487e+06	15027.1	0
	600	1.48155e+06	14987.1	0
	601	1.47614e+06	14947.2	0
	602	1.47079e+06	14907.4	0
	603	1.46549e+06	14867.7	0
	604	1.46024e+06	14828.2	0
	605	1.45504e+06	14788.7	0
	606	1.4499e+06	14749.4	0
	607	1.44481e+06	14710.3	0
	608	1.43977e+06	14671.2	0
	609	1.43479e+06	14632.3	0
	610	1.42986e+06	14593.5	0
	611	1.42498e+06	14554.8	0
	612	1.42016e+06	14516.3	0
	613	1.41539e+06	14477.9	0
	614	1.41068e+06	14439.7	0
	615	1.40602e+06	14401.6	0
	616	1.40141e+06	14363.6	0
	617	1.39686e+06	14325.8	0
	618	1.39237e+06	14288.1	0
	619	1.38793e+06	14250.6	0
	620	1.38355e+06	14213.2	0
	621	1.37923e+06	14176	0
	622	1.37496e+06	14138.9	0
	623	1.37075e+06	14102	0
	624	1.3666e+06	14065.2	0
	625	1.36251e+06	14028.6	0
	626	1.35848e+06	13992.2	0
	627	1.35451e+06	13955.9	0
	628	1.3506e+06	13919.8	0
	629	1.34675e+06	13883.8	0
	630	1.34296e+06	13848	0
	631	1.33924e+06	13812.3	0
	632	1.33557e+06	13776.9	0
	633	1.33198e+06	13741.6	0
	634	1.32844e+06	13706.5	0
	635	1.32498e+06	13671.5	0
	636	1.32158e+06	13636.7	0
	637	1.31825e+06	13602.1	0
	638	1.31498e+06	13567.7	0
	639	1.31179e+06	13533.4	0
	640	1.30867e+06	13499.4	0
	641	1.30562e+06	13465.5	0
	642	1.30264e+06	13431.8	0
	643	1.29973e+06	13398.3	0
	644	1.29691e+06	13365	0
	645	1.29415e+06	13331.8	0
	646	1.29148e+06	13298.9	0
	647	1.28888e+06	13266.2	0
	648	1.28637e+06	13233.6	0
	649	1.28394e+06	13201.3	0
	650	1.28159e+06	13169.1	0
	651	1.27933e+06	13137.2	0
	652	1.27715e+06	13105.5	0
	653	1.27506e+06	13073.9	0
	654	1.27307e+06	13042.6	0
	655	1.27116e+06	13011.5	0
	656	1.26935e+06	12980.6	0
	657	1.26764e+06	12950	0
	658	1.26602e+06	12919.5	0
	659	1.2645e+06	12889.3	0
	660	1.26309e+06	12859.3	0
	661	1.26178e+06	12829.5	0
	662	1.26057e+06	12800	0
	663	1.25948e+06	12770.7	0
	664	1.2585e+06	12741.6	0
	665	1.25763e+06	12712.8	0
	666	1.25688e+06	12684.2	0
	667	1.25625e+06	12655.9	0
	668	1.25574e+06	12627.8	0
	669	1.25535e+06	12599.9	0
	670	1.25509e+06	12572.4	0
	671	1.25497e+06	12545.1	0
	672	1.25498e+06	12518	0
	673	1.25512e+06	12491.3	0
	674	1.25541e+06	12464.8	0
	675	1.25583e+06	12438.5	0
	676	1.25641e+06	12412.6	0
	677	1.25713e+06	12386.9	0
	678	1.25802e+06	12361.6	0
	679	1.25905e+06	12336.5	0
	680	1.26025e+06	12311.8	0
	681	1.26162e+06	12287.3	0
	682	1.26315e+06	12263.2	0
	683	1.26486e+06	12239.3	0
	684	1.26674e+06	12215.8	0
	685	1.26881e+06	12192.7	0
	686	1.27106e+06	12169.8	0
	687	1.27351e+06	12147.3	0
	688	1.27614e+06	12125.2	0
	689	1.27898e+06	12103.4	0
	690	1.28202e+06	12081.9	0
	691	1.28527e+06	12060.8	0
	692	1.28873e+06	12040.1	0
	693	1.29241e+06	12019.8	0
	694	1.29632e+06	11999.8	0
	695	1.30045e+06	11980.3	0
	696	1.30481e+06	11961.1	0
	697	1.30941e+06	11942.4	0
	698	1.31426e+06	11924.1	0
	699	1.31935e+06	11906.2	0
	700	1.32469e+06	11888.7	0
	701	1.33029e+06	11871.7	0
	702	1.33616e+06	11855.1	0
	703	1.34229e+06	11839	0
	704	1.34869e+06	11823.3	0
	705	1.35538e+06	11808.1	0
	706	1.36234e+06	11793.4	0
	707	1.3696e+06	11779.2	0
	708	1.37715e+06	11765.5	0
	709	1.38499e+06	11752.4	0
	710	1.39314e+06	11739.7	0
	711	1.40159e+06	11727.6	0
	712	1.41036e+06	11716	0
	713	1.41944e+06	11705	0
	714	1.42884e+06	11694.6	0
	715	1.43856e+06	11684.7	0
	716	1.44861e+06	11675.4	0
	717	1.459e+06	11666.8	0
	718	1.46972e+06	11658.7	0
	719	1.48077e+06	11651.3	0
	720	1.49217e+06	11644.5	0
	721	1.50391e+06	11638.3	0
	722	1.51599e+06	11632.8	0
	723	1.52843e+06	11628	0
	724	1.54121e+06	11623.9	0
	725	1.55434e+06	11620.4	0
	726	1.56783e+06	11617.7	0
	727	1.58166e+06	11615.7	0
	728	1.59585e+06	11614.5	0
	729	1.61038e+06	11614	0
	730	1.62527e+06	11614.2	0
	731	1.6405e+06	11615.2	0
	732	1.65608e+06	11617	0
	733	1.67201e+06	11619.6	0
	734	1.68827e+06	11623	0
	735	1.70487e+06	11627.3	0
	736	1.7218e+06	11632.3	0
	737	1.73906e+06	11638.2	0
	738	1.75664e+06	11645	0
