Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
10000,0.500000,3,10.000000,100.000000,9.584000
10,0.500000,3,10.000000,100.000000,46.000000
500,0.500000,3,10.000000,100.000000,9.960000
10000,0.500000,3,10.000000,100.000000,9.632000
10,0.500000,3,10.000000,100.000000,30.000000
500,0.500000,3,10.000000,100.000000,12.520000
10000,0.500000,3,10.000000,100.000000,10.328000
10,0.500000,3,10.000000,100.000000,10.000000
500,0.500000,3,10.000000,100.000000,14.400000
10000,0.500000,3,10.000000,100.000000,9.588000
10,0.500000,3,10.000000,100.000000,-48.000000
500,0.500000,3,10.000000,100.000000,5.400000
10000,0.500000,3,10.000000,100.000000,10.274000
10,0.500000,3,10.000000,100.000000,-8.000000
500,0.500000,3,10.000000,100.000000,15.520000
10000,0.500000,3,10.000000,100.000000,9.460000
10,0.500000,3,10.000000,100.000000,18.000000
500,0.500000,3,10.000000,100.000000,11.880000
10000,0.500000,3,10.000000,100.000000,9.822000
10,0.500000,3,10.000000,100.000000,-26.000000
500,0.500000,3,10.000000,100.000000,6.720000
10000,0.500000,3,10.000000,100.000000,10.244000
10,0.500000,3,10.000000,100.000000,38.000000
500,0.500000,3,10.000000,100.000000,8.920000
10000,0.500000,3,10.000000,100.000000,9.462000
10,0.500000,3,10.000000,100.000000,12.000000
500,0.500000,3,10.000000,100.000000,11.600000
10000,0.500000,3,10.000000,100.000000,9.254000
10,0.500000,3,10.000000,100.000000,32.000000
500,0.500000,3,10.000000,100.000000,8.120000
10000,0.500000,3,10.000000,100.000000,9.664000
10,0.500000,3,10.000000,100.000000,-10.000000
500,0.500000,3,10.000000,100.000000,10.760000
10000,0.500000,3,10.000000,100.000000,8.812000
10,0.500000,3,10.000000,100.000000,24.000000
500,0.500000,3,10.000000,100.000000,9.600000
10000,0.500000,3,10.000000,100.000000,9.966000
10,0.500000,3,10.000000,100.000000,18.000000
500,0.500000,3,10.000000,100.000000,9.840000
10000,0.500000,3,10.000000,100.000000,9.772000
10,0.500000,3,10.000000,100.000000,44.000000
500,0.500000,3,10.000000,100.000000,15.520000
10000,0.500000,3,10.000000,100.000000,10.310000
10,0.500000,3,10.000000,100.000000,-18.000000
500,0.500000,3,10.000000,100.000000,11.480000
10000,0.500000,3,10.000000,100.000000,8.694000
10,0.500000,3,10.000000,100.000000,18.000000
500,0.500000,3,10.000000,100.000000,8.960000
10000,0.500000,3,10.000000,100.000000,11.066000
10,0.500000,3,10.000000,100.000000,14.000000
500,0.500000,3,10.000000,100.000000,10.440000
10000,0.500000,3,10.000000,100.000000,8.988000
10,0.500000,3,10.000000,100.000000,30.000000
500,0.500000,3,10.000000,100.000000,9.360000
10000,0.500000,3,10.000000,100.000000,9.794000
10,0.500000,3,10.000000,100.000000,26.000000
500,0.500000,3,10.000000,100.000000,12.880000
10000,0.500000,3,10.000000,100.000000,11.362000
10,0.500000,3,10.000000,100.000000,38.000000
500,0.500000,3,10.000000,100.000000,6.840000
10000,0.500000,3,10.000000,100.000000,8.750000
10,0.500000,3,10.000000,100.000000,24.000000
500,0.500000,3,10.000000,100.000000,9.840000
10000,0.500000,3,10.000000,100.000000,11.190000
10,0.500000,3,10.000000,100.000000,40.000000
500,0.500000,3,10.000000,100.000000,5.320000
10000,0.500000,3,10.000000,100.000000,10.870000
10,0.500000,3,10.000000,100.000000,28.000000
500,0.500000,3,10.000000,100.000000,15.680000
10000,0.500000,3,10.000000,100.000000,9.614000
10,0.500000,3,10.000000,100.000000,12.000000
500,0.500000,3,10.000000,100.000000,11.720000
10000,0.500000,3,10.000000,100.000000,9.972000
10,0.500000,3,10.000000,100.000000,20.000000
500,0.500000,3,10.000000,100.000000,12.040000
10000,0.500000,3,10.000000,100.000000,9.926000
10,0.500000,3,10.000000,100.000000,26.000000
500,0.500000,3,10.000000,100.000000,12.480000
10000,0.500000,3,10.000000,100.000000,9.986000
10,0.500000,3,10.000000,100.000000,34.000000
500,0.500000,3,10.000000,100.000000,13.040000
10000,0.500000,3,10.000000,100.000000,10.062000
10,0.500000,3,10.000000,100.000000,28.000000
500,0.500000,3,10.000000,100.000000,5.840000
10000,0.500000,3,10.000000,100.000000,9.474000
10,0.500000,3,10.000000,100.000000,46.000000
500,0.500000,3,10.000000,100.000000,10.240000
10000,0.500000,3,10.000000,100.000000,9.138000
10,0.500000,3,10.000000,100.000000,14.000000
500,0.500000,3,10.000000,100.000000,10.760000
10000,0.500000,3,10.000000,100.000000,8.802000
10,0.500000,3,10.000000,100.000000,10.000000
500,0.500000,3,10.000000,100.000000,9.160000
10000,0.500000,3,10.000000,100.000000,10.432000
10,0.500000,3,10.000000,100.000000,24.000000
500,0.500000,3,10.000000,100.000000,4.480000
10000,0.500000,3,10.000000,100.000000,9.914000
10,0.500000,3,10.000000,100.000000,10.000000
500,0.500000,3,10.000000,100.000000,14.120000
10000,0.500000,3,10.000000,100.000000,9.096000
10,0.500000,3,10.000000,100.000000,-12.000000
500,0.500000,3,10.000000,100.000000,13.160000
10000,0.500000,3,10.000000,100.000000,10.912000
