	t	x	y
	827	3.07127e+06	16347.6
	828	3.06839e+06	16405.5
	829	3.06527e+06	16462.8
	830	3.06191e+06	16519.4
	831	3.05833e+06	16575.5
	832	3.05451e+06	16630.8
	833	3.05049e+06	16685.5
	834	3.04625e+06	16739.5
	835	3.0418e+06	16792.9
	836	3.03716e+06	16845.4
	837	3.03232e+06	16897.3
	838	3.0273e+06	16948.4
	839	3.02209e+06	16998.7
	840	3.01671e+06	17048.3
	841	3.01116e+06	17097.1
	842	3.00544e+06	17145
	843	2.99956e+06	17192.2
	844	2.99353e+06	17238.5
	845	2.98735e+06	17284
	846	2.98103e+06	17328.7
	847	2.97456e+06	17372.5
	848	2.96797e+06	17415.4
	849	2.96124e+06	17457.5
	850	2.95439e+06	17498.7
	851	2.94741e+06	17539
	852	2.94033e+06	17578.4
	853	2.93313e+06	17616.9
	854	2.92582e+06	17654.6
	855	2.91842e+06	17691.3
	856	2.91091e+06	17727.1
	857	2.90331e+06	17762
	858	2.89562e+06	17796
	859	2.88784e+06	17829.1
	860	2.87999e+06	17861.2
	861	2.87205e+06	17892.5
	862	2.86404e+06	17922.8
	863	2.85596e+06	17952.2
	864	2.84781e+06	17980.6
	865	2.83959e+06	18008.2
	866	2.83132e+06	18034.8
	867	2.82298e+06	18060.5
	868	2.8146e+06	18085.3
	869	2.80616e+06	18109.2
	870	2.79767e+06	18132.1
	871	2.78914e+06	18154.2
	872	2.78057e+06	18175.4
	873	2.77196e+06	18195.6
	874	2.76331e+06	18214.9
	875	2.75463e+06	18233.4
	876	2.74591e+06	18251
	877	2.73717e+06	18267.6
	878	2.72841e+06	18283.4
	879	2.71961e+06	18298.4
	880	2.7108e+06	18312.4
	881	2.70197e+06	18325.6
	882	2.69313e+06	18338
	883	2.68427e+06	18349.5
	884	2.67539e+06	18360.1
	885	2.66651e+06	18369.9
	886	2.65762e+06	18378.9
	887	2.64873e+06	18387.1
	888	2.63983e+06	18394.4
	889	2.63093e+06	18401
	890	2.62203e+06	18406.7
	891	2.61313e+06	18411.7
	892	2.60424e+06	18415.9
	893	2.59535e+06	18419.3
	894	2.58647e+06	18422
	895	2.5776e+06	18423.9
	896	2.56874e+06	18425
	897	2.55989e+06	18425.5
	898	2.55106e+06	18425.2
	899	2.54224e+06	18424.2
	900	2.53343e+06	18422.5
	901	2.52465e+06	18420
	902	2.51588e+06	18416.9
	903	2.50714e+06	18413.2
	904	2.49842e+06	18408.7
	905	2.48972e+06	18403.6
	906	2.48105e+06	18397.9
	907	2.4724e+06	18391.5
	908	2.46378e+06	18384.5
	909	2.45519e+06	18376.8
	910	2.44662e+06	18368.6
	911	2.43809e+06	18359.8
	912	2.42959e+06	18350.4
	913	2.42112e+06	18340.4
	914	2.41269e+06	18329.8
	915	2.40429e+06	18318.7
	916	2.39592e+06	18307
